,t
0,2.82
1,2.81
2,2.8
3,2.8
4,2.8
5,2.81
6,2.82
7,2.82
8,2.85
9,2.84
10,2.85
11,2.82
12,2.83
13,2.83
14,2.82
15,2.84
16,2.87
17,2.87
18,2.91
19,2.91
20,2.9
21,2.88
22,2.88
23,2.84
24,2.81
25,2.78
26,2.76
27,2.74
28,2.73
29,2.7
30,2.67
31,2.66
32,2.65
33,2.66
34,2.63
35,2.61
36,2.49
37,2.44
38,2.4
39,2.43
40,2.42
41,2.42
42,2.43
43,2.44
44,2.43
45,2.41
46,2.35
47,2.32
48,2.3
49,2.31
50,2.28
51,2.27
52,2.29
53,2.29
54,2.3
55,2.29
56,2.31
57,2.33
58,2.28
59,2.24
60,2.28
61,2.29
62,2.22
63,2.28
64,2.3
65,2.25
66,2.3
67,2.21
68,2.37
69,2.38
70,2.39
71,2.37
72,2.34
73,2.32
74,2.31
75,2.3
76,2.3
77,2.3
78,2.3
79,2.27
80,2.27
81,2.27
82,2.27
83,2.27
84,2.26
85,2.26
86,2.27
87,2.28
88,2.31
89,2.33
90,1.8
91,1.8
92,0.43
93,2.33
94,2.31
95,2.3
96,2.28
97,2.26
98,2.26
99,2.26
100,2.26
101,2.26
102,2.25
103,2.24
104,2.24
105,2.25
106,2.26
107,2.26
108,2.26
109,2.28
110,2.3
111,2.31
112,2.32
113,2.34
114,2.37
115,2.39
116,2.4
117,2.39
118,2.37
119,2.35
120,2.34
121,2.33
122,2.31
123,2.31
124,2.3
125,2.3
126,2.31
127,2.31
128,2.29
129,2.29
130,2.29
131,2.29
132,2.28
133,2.29
134,2.29
135,2.3
136,2.32
137,2.33
138,2.35
139,2.36
140,2.37
141,2.36
142,2.35
143,2.34
144,2.33
145,2.33
146,2.32
147,2.32
148,2.31
149,2.31
150,2.32
151,2.32
152,2.32
153,2.29
154,2.34
155,2.35
156,2.34
157,2.34
158,2.35
159,2.36
160,2.38
161,2.41
162,2.38
163,2.41
164,2.4
165,2.4
166,2.39
167,2.38
168,2.36
169,2.36
170,2.35
171,2.35
172,2.35
173,2.35
174,2.34
175,2.34
176,2.35
177,2.35
178,2.35
179,2.3
180,2.33
181,2.28
182,2.32
183,2.34
184,2.32
185,2.33
186,2.37
187,2.37
188,2.36
189,2.34
190,2.31
191,2.3
192,2.26
193,2.25
194,2.24
195,2.22
196,2.2
197,2.19
198,2.18
199,2.19
200,2.2
201,2.19
202,2.16
203,2.14
204,2.13
205,2.14
206,2.14
207,2.14
208,2.13
209,2.15
210,2.16
211,2.21
212,2.22
213,2.21
214,2.19
215,2.18
