,t
0,2.61359039124788
1,2.61166182182049
2,2.60972217894672
3,2.60777164421209
4,2.60581039867238
5,2.60383862345463
6,2.60185650005804
7,2.59986421013268
8,2.59786193533811
9,2.59584985735858
10,2.59382815729172
11,2.59179701606919
12,2.58975661412277
13,2.5877071321693
14,2.58564875194691
15,2.58358165546628
16,2.58150602499015
17,2.57942204355009
18,2.57732989419195
19,2.57522975949953
20,2.57312182239113
21,2.57100626619459
22,2.56888327492021
23,2.56675303228132
24,2.56461572120077
25,2.56247152656225
26,2.56032063397303
27,2.55816322926389
28,2.55599949818131
29,2.55382962702794
30,2.55165380317563
31,2.5494722138032
32,2.54728504581802
33,2.54509248596423
34,2.54289472148856
35,2.54069194127436
36,2.53848433558126
37,2.53627209641256
38,2.53405541666706
39,2.53183448913347
40,2.52960950651217
41,2.52738066218166
42,2.5251481511478
43,2.52291216933211
44,2.52067291261607
45,2.51843057533987
46,2.51618535154606
47,2.5139374355142
48,2.51168702358575
49,2.50943431402111
50,2.50717950702552
51,2.50492280231479
52,2.50266439598544
53,2.50040447913139
54,2.49814323853475
55,2.4958808581363
56,2.49361752231095
57,2.49135341667303
58,2.48908873108557
59,2.48682365846137
60,2.48455839231422
61,2.48229312602439
62,2.48002804722525
63,2.47776332693078
64,2.47549913028573
65,2.47323561774921
66,2.47097295260109
67,2.46871129878913
68,2.46645082153353
69,2.46419168323982
70,2.46193404589803
71,2.45967807092386
72,2.45742390964178
73,2.45517170881898
74,2.45292161343553
75,2.45067376864711
76,2.44842832029717
77,2.44618541262223
78,2.44394518741131
79,2.44170778429733
80,2.4394733385136
81,2.43724198125498
82,2.43501383952666
83,2.43278903584795
84,2.43056768805067
85,2.42834991818568
86,2.42613584363985
87,2.42392558341254
88,2.42171925757667
89,2.41951698449253
90,2.41731888143887
91,2.41512506219586
92,2.41293563959622
93,2.41075072308443
94,2.40857042093189
95,2.40639483715742
96,2.40422406731321
97,2.40205820303587
98,2.39989733628715
99,2.39774155806614
100,2.39559095409199
101,2.39344560705302
102,2.39130559636055
103,2.38917099980628
104,2.38704189531002
105,2.38491836075381
106,2.38280047140938
107,2.38068829921443
108,2.37858191575782
109,2.37648139061266
110,2.37438679112002
111,2.37229818229843
112,2.3702156296497
113,2.36813919797956
114,2.3660689502126
115,2.36400494607512
116,2.36194724071887
117,2.35989588516362
118,2.35785092754368
119,2.3558124138721
120,2.35378038984888
121,2.35175490079519
122,2.34973599579192
123,2.34772372427298
124,2.34571813571994
125,2.34371927879972
126,2.3417271990983
127,2.33974193615346
128,2.33776352534073
129,2.3357919946678
130,2.33382736822181
131,2.3318696669786
132,2.32991890946651
133,2.32797511356501
134,2.32603829670563
135,2.32410847649578
136,2.32218566738981
137,2.32026987986785
138,2.31836112239334
139,2.3164594032996
140,2.3145647290103
141,2.31267710186208
142,2.31079652249927
143,2.3089229901711
144,2.30705649933241
145,2.30519704053337
146,2.3033446014995
147,2.30149916644329
148,2.29966072136194
149,2.29782925338815
150,2.2960047479777
151,2.2941871861282
152,2.29237654770154
153,2.29057281211613
154,2.28877596082848
155,2.28698597261043
156,2.2852028244418
157,2.28342649288578
158,2.2816569532916
159,2.27989417900418
160,2.27813814072792
161,2.27638880849471
162,2.27464615260572
163,2.27291014179058
164,2.2711807454077
165,2.26945793400595
166,2.26774167701946
167,2.26603194122128
168,2.26432869264373
169,2.2626318943566
170,2.26094150751332
171,2.2592574937984
